categoria,pregunta,respuesta,orden
evento,"¿Qué es el Encuentro Mundial de Valores?","Es un evento internacional que reúne a líderes, académicos, innovadores, educadores, expertos en salud, comunicadores y referentes espirituales para reflexionar sobre temas actuales. En 2026 celebra su edición XVIII bajo el tema ""Humanismo y Valores en la Era de la Inteligencia Artificial"", buscando asegurar que el avance tecnológico se alinee con los valores humanos y la responsabilidad social.",10
evento,"¿Cuál es la trayectoria del Encuentro?","En sus primeros 17 años, el Encuentro Mundial de Valores ha reunido a más de 530 expositores internacionales y más de 68,000 asistentes.",20
evento,"¿Es un evento presencial o virtual?","Es un evento presencial, en Monterrey, Nuevo León, México.",30
fechas,"¿Cuándo es el Encuentro Mundial de Valores 2026?","El 3 y 4 de octubre de 2026, en Monterrey, Nuevo León.",40
fechas,"¿Cuál es el horario del evento?","Día 1 (sábado 3 de octubre): de 9:00 AM a 6:30 PM, en Showcenter Complex. Día 2 (domingo 4 de octubre): de 9:00 AM a 1:00 PM, en Cintermex, seguido de la Caminata por la Paz a la 1:00 PM en el Parque Fundidora.",50
sede,"¿Dónde se realiza el Encuentro?","En dos sedes: el sábado 3 de octubre en Showcenter Complex (San Pedro Garza García, N.L.) y el domingo 4 de octubre en Cintermex (Monterrey, N.L.).",60
sede,"¿Cuál es la ubicación exacta de Showcenter Complex?","Showcenter Complex, San Pedro Garza García, Nuevo León. Ver en Google Maps: https://maps.app.goo.gl/3soFQcgwREkTLrG8A",70
sede,"¿Cuál es la ubicación exacta de Cintermex?","Cintermex, Monterrey, Nuevo León. Ver en Google Maps: https://maps.app.goo.gl/V8zw5poX5C9VxUqF9",80
registro,"¿Cómo compro mi boleto?","Los boletos se compran en línea a través de Superboletos: https://www.superboletos.com/landing-evento/GKkYPxPOI36IfcL_nK2DYQ",90
registro,"¿Cuál es el costo del boleto?","Los boletos tienen un costo de entre $1,500 y $2,500 MXN, dependiendo del tipo de boleto. Se compran en línea a través de Superboletos: https://www.superboletos.com/landing-evento/GKkYPxPOI36IfcL_nK2DYQ",100
registro,"¿El evento es gratuito?","No, es un evento de paga. Los boletos se adquieren en línea por Superboletos.",110
programa,"¿Quiénes son los ponentes principales?","Entre más de 35 ponentes confirmados destacan Marian Rojas Estapé (psiquiatra y autora), Sebastian Yatra (cantautor), Emma Seppälä (psicóloga, Stanford), Dr. Bimal Desai (Children's Hospital of Philadelphia), Mons. Rogelio Cabrera López (Arzobispo de Monterrey) y Jorge Lerdo de Tejada (Singularity University), entre otros líderes en salud, educación, tecnología y espiritualidad. La lista completa está en la sección Panelistas de encuentro-mundial-de-valores.vercel.app.",120
programa,"¿Cuál es el programa del día 1 (sábado 3 de octubre)?","En Showcenter Complex: inauguración a las 8:30 AM, conferencias magistrales sobre bienestar emocional e Inteligencia Artificial, paneles sobre educación y tecnología durante el día, y cierre a las 6:30 PM con un concierto de Sebastián Yatra.",130
programa,"¿Cuál es el programa del día 2 (domingo 4 de octubre)?","En Cintermex, de 9:00 AM a 1:00 PM, hay sesiones simultáneas en cinco salas sobre temas espirituales, comunicación, salud, educación y actividades con Rotarios. El evento cierra con la Caminata por la Paz a la 1:00 PM en el Parque Fundidora.",140
contacto,"¿Cómo contacto a los organizadores?","Puedes escribir a info@encuentromundialdevalores.org o contactarlos por Instagram: @encuentromundialdevalores",150
contacto,"¿Tienen redes sociales oficiales?","Sí: Instagram @encuentromundialdevalores, Facebook @EncuentroMundialdeValores, X (Twitter) @EMValores y YouTube EMValores.",160
colaboradores,"¿Quiénes son los patrocinadores del Encuentro?","Entre los colaboradores están el Gobierno de Nuevo León, Secretaría de Educación NL, Tecnológico de Monterrey, UDEM, U-ERRE, Universidad de Montemorelos, Arca Continental, Bimbo, Xignux, Berel y Rotary, entre otras instituciones y fundaciones.",170
colaboradores,"¿Cómo puedo ser patrocinador o colaborador?","Escribiendo por Instagram a @encuentromundialdevalores para más información.",180
